title,MuDeP Arc Accuracy,MuDeP Span Accuracy,MuDeP Fscore (no postp),MuDeP Fscore,MuDeP Head Accuracy (no postp),MuDeP Head Accuracy,MuDeP Node Accuracy,len
193_unknown,0.814814806,0.814814806,0.577319562,0.758620679,0.785714328,0.785714269,0.781818211,29
194_unknown,0.333333343,0.814814806,0.397260278,0.344827592,0.535714328,0.357142866,0.436363637,29
195_unknown,0.722222209,0.75,0.38271606,0.701298714,0.756756783,0.729729712,0.698630154,39
196_unknown,0.958333313,1,0.527472556,0.867924511,0.919999957,0.920000017,0.959183693,27
197_unknown,0.666666687,0.600000024,0.612244904,0.647058845,0.6875,0.6875,0.645161271,17
198_unknown,0.857142866,0.857142866,0.502994001,0.827586234,0.813953459,0.837209284,0.835294127,43
199_unknown,0.255319148,0.574468076,0.344000012,0.257425755,0.291666687,0.270833343,0.442105263,52
20_La Traviata Brindisi,0.400000006,0.439999998,0.373983741,0.407407403,0.423076928,0.423076928,0.431372553,27
200_unknown,0.48888889,0.477777779,0.295857996,0.486486495,0.483516484,0.494505495,0.309392273,93
201_unknown,0.531645596,0.670886099,0.2591241,0.534161508,0.487500012,0.537500024,0.572327018,80
202_unknown,0.911111116,1,0.528089881,0.893617034,0.891304374,0.913043499,0.934065938,47
203_unknown,0.714285731,0.642857134,0.459016383,0.666666687,0.758620679,0.724137902,0.736842096,33
204_unknown,0.471698105,0.698113203,0.255319148,0.448275864,0.5,0.481481493,0.551401854,61
205_unknown,0.686274529,0.941176474,0.327160507,0.666666687,0.596153855,0.673076928,0.776699007,52
206_unknown,0.571428597,0.428571433,0.395348847,0.531645596,0.611111104,0.583333313,0.633802831,42
207_unknown,0.289473683,0.868421078,0.335483879,0.300000012,0.333333343,0.307692319,0.44155845,40
208_unknown,0.743589759,0.717948735,0.414893627,0.740740716,0.699999988,0.75,0.734177232,40
209_unknown,0.483870953,0.612903237,0.44094488,0.477611929,0.53125,0.5,0.476190478,34
21_Plaisir d'Amour,0.5,0.590909064,0.421052635,0.470588237,0.521739125,0.521739125,0.533333361,27
210_unknown,0.606060624,0.606060624,0.485714287,0.575342476,0.617647052,0.617647052,0.641791046,38
211_unknown,0.857142866,0.771428585,0.560606062,0.826666653,0.861111104,0.861111104,0.85915494,38
212_unknown,0.647058845,0.529411793,0.584615409,0.558139563,0.666666687,0.666666687,0.742857158,24
213_unknown,0.366666675,0.533333361,0.440677971,0.375,0.354838699,0.387096763,0.44262296,32
214_unknown,0.800000012,0.714285731,0.415730327,0.783783793,0.777777791,0.805555582,0.718309879,37
215_unknown,0.924528301,0.924528301,0.514285743,0.917431176,0.944444478,0.92592591,0.915887833,54
216_unknown,0.75757575,0.666666687,0.57407409,0.732394338,0.764705896,0.764705896,0.731343269,36
217_unknown,0.304347813,0.565217376,0.339622647,0.307692319,0.333333343,0.333333343,0.319148928,27
218_unknown,0.576923072,0.769230783,0.419354826,0.545454562,0.592592597,0.555555582,0.509433985,27
219_unknown,0.407407403,0.518518507,0.475247532,0.421052635,0.5,0.428571433,0.545454562,28
22_Ellens Gesang III Op.52-6 D.839,0.303030312,0.75757575,0.435483873,0.305555552,0.323529422,0.323529422,0.417910457,37
220_unknown,0.56410259,0.512820542,0.388888896,0.516853929,0.574999988,0.574999988,0.721518993,48
221_unknown,0.625,0.5,0.586206913,0.578947365,0.647058845,0.647058845,0.545454562,20
222_unknown,0.92592591,1,0.690476179,0.852459013,0.928571463,0.928571403,0.945454538,32
223_unknown,0.454545468,0.636363626,0.357894748,0.400000006,0.434782624,0.434782594,0.444444448,26
224_unknown,0.5,0.388888896,0.579710126,0.512820542,0.526315808,0.526315808,0.729729712,19
225_unknown,0.460000008,0.340000004,0.33561644,0.461538464,0.470588267,0.470588237,0.475247532,52
226_unknown,0.766666651,0.666666687,0.609523833,0.738461554,0.774193525,0.774193525,0.803278685,33
227_unknown,0.818181813,0.954545438,0.424242437,0.808510661,0.826086998,0.826086938,0.822222233,23
228_unknown,0.375,0.375,0.421052635,0.392156869,0.479999989,0.400000006,0.510204077,25
229_unknown,0.814814806,0.592592597,0.59523809,0.793103456,0.821428597,0.821428597,0.818181813,29
23_Die Meistersinger von Nurnberg Prelude,0.442307681,0.576923072,0.362934351,0.440366983,0.452830195,0.452830195,0.504761934,55
230_unknown,0.59523809,0.476190478,0.441025645,0.584269643,0.581395328,0.604651153,0.600000024,45
231_unknown,0.636363626,0.636363626,0.46808511,0.518518507,0.5,0.583333313,0.478260875,14
232_unknown,0.512820542,0.43589744,0.450549453,0.493827164,0.450000018,0.5,0.430379748,40
233_unknown,0.611111104,0.638888896,0.503401339,0.605263174,0.648648679,0.621621609,0.602739751,38
234_unknown,0.636363626,0.772727251,0.585365832,0.588235319,0.695652187,0.652173936,0.622222245,27
235_unknown,0.673076928,0.826923072,0.360544205,0.666666687,0.603773594,0.679245293,0.72380954,54
236_unknown,0.480769217,0.596153855,0.299065411,0.472727269,0.528301895,0.490566045,0.54285717,56
237_unknown,0.666666687,0.882352948,0.375,0.648148119,0.673076928,0.673076928,0.669902921,55
238_unknown,0.696969688,0.484848499,0.457516342,0.657534242,0.647058845,0.70588237,0.701492548,38
239_unknown,0.474999994,0.474999994,0.369942188,0.430107534,0.48780486,0.48780489,0.61728394,51
24_Orphee aux Enfers Overture,0.137931034,0.896551728,0.389380544,0.163934425,0.166666672,0.166666672,0.322033912,30
240_unknown,0.5,0.363636374,0.433734953,0.387096763,0.521739125,0.521739125,0.600000024,38
241_unknown,0.815789461,0.736842096,0.5,0.752941191,0.820512831,0.820512831,0.805194795,45
242_unknown,0.413793117,0.827586234,0.434108526,0.426229507,0.433333367,0.433333337,0.491525412,30
243_unknown,0.315789461,0.526315808,0.346666664,0.285714298,0.300000012,0.300000012,0.256410271,21
244_unknown,0.400000006,0.5,0.357142866,0.391304344,0.428571433,0.428571433,0.463414639,24
245_unknown,0.658536613,0.682926834,0.385650218,0.606741548,0.666666687,0.642857134,0.686747015,46
246_unknown,0.377777785,0.48888889,0.404907972,0.387096763,0.347826093,0.391304344,0.494505495,46
247_unknown,0.884615362,0.807692289,0.622222245,0.827586234,0.888888896,0.888888896,0.886792481,30
248_unknown,0.088235296,0.176470593,0.166666672,0.10958904,0.085714288,0.114285715,0.333333343,37
249_unknown,0.5,0.5,0.406504065,0.483870953,0.517241359,0.517241359,0.578947365,32
25_L'arlesienne Suite No.2 Farandole,0.375,0.375,0.339622647,0.372093022,0.390243888,0.390243888,0.518518507,44
250_unknown,0.538461566,0.692307711,0.37931034,0.516129017,0.571428597,0.571428597,0.592592597,16
251_unknown,0.540540516,0.567567587,0.397727281,0.51219511,0.526315808,0.552631557,0.613333344,43
252_unknown,0.618181825,0.836363614,0.359322041,0.598290622,0.589285731,0.625,0.630630612,60
253_unknown,0.842105269,0.842105269,0.547945201,0.809523821,0.800000012,0.850000024,0.794871807,21
254_unknown,0.3125,0.791666687,0.331428558,0.319999993,0.326530606,0.326530606,0.474226803,50
255_unknown,0.631578922,0.578947365,0.444444448,0.600000024,0.615384638,0.615384638,0.714285731,40
256_unknown,0.850000024,0.949999988,0.575342476,0.818181813,0.857142866,0.857142866,0.853658557,22
257_unknown,0.724137902,0.724137902,0.488188982,0.666666687,0.733333349,0.733333349,0.694915235,35
258_unknown,0.92592591,0.888888896,0.630434811,0.852459013,0.928571463,0.928571403,0.909090936,32
259_unknown,0.604651153,0.883720934,0.459770113,0.600000024,0.613636374,0.613636374,0.609195411,45
26_Overture No.3 BWV.1068 Air on a G string,0.209302321,0.488372087,0.333333343,0.224719107,0.295454562,0.227272734,0.344827592,44
260_unknown,0.645833313,0.645833313,0.431034476,0.633663356,0.632653058,0.653061211,0.649484515,51
261_unknown,0.708333313,0.666666687,0.429223746,0.673076928,0.693877518,0.714285731,0.618556678,54
262_unknown,0.866666675,0.666666687,0.54838711,0.777777791,0.8125,0.875,0.806451619,19
263_unknown,0.692307711,0.692307711,0.439999998,0.622950792,0.666666687,0.703703701,0.716981113,33
264_unknown,0.666666687,0.422222227,0.508108079,0.659574449,0.673913062,0.673913062,0.615384638,47
265_unknown,0.28125,0.375,0.285714298,0.289855063,0.303030312,0.303030312,0.338461548,35
266_unknown,0.375,0.5,0.372881353,0.377358496,0.399999976,0.400000006,0.346938789,27
267_unknown,0.800000012,0.949999988,0.578947365,0.790697694,0.809523821,0.809523821,0.780487776,21
268_unknown,0.5,0.75,0.563380301,0.511627913,0.523809552,0.523809552,0.560975611,21
269_unknown,0.382352948,0.205882356,0.337349385,0.373333335,0.371428579,0.400000006,0.492753625,39
27_Peer Gynt Suite No.1 Op.46 Morgenstemning,0.46808511,0.744680822,0.410958916,0.448979586,0.5,0.458333343,0.410526305,49
270_unknown,0.310344815,0.689655185,0.296551734,0.316666663,0.322033912,0.322033912,0.273504287,60
271_unknown,0.452380955,0.333333343,0.479999989,0.449438214,0.465116262,0.465116292,0.611764729,45
272_unknown,0.75999999,0.879999995,0.577777803,0.727272749,0.769230783,0.769230783,0.70588237,28
273_unknown,0.809523821,0.809523821,0.461538464,0.765957475,0.727272749,0.818181813,0.790697694,24
274_unknown,0.5,0.611111104,0.46875,0.512820542,0.526315808,0.526315808,0.513513505,19
275_unknown,0.744186044,0.744186044,0.461538464,0.733333349,0.772727311,0.75,0.781609178,45
276_unknown,0.857142866,0.833333313,0.491620123,0.831460655,0.790697694,0.860465109,0.847058833,45
277_unknown,0.818181813,0.909090936,0.378378391,0.807017565,0.785714328,0.821428597,0.819819808,57
278_unknown,0.357142866,0.214285716,0.359712243,0.349206358,0.344827592,0.37931034,0.526315808,33
279_unknown,0.484375,0.5,0.295336783,0.474074066,0.476923078,0.492307693,0.558139563,69
28_Le carnaval des animaux Le Cygne,0.666666687,0.833333313,0.539682567,0.666666687,0.684210539,0.684210539,0.67567569,19
280_unknown,0.5625,0.5625,0.41538462,0.520547926,0.575757623,0.575757563,0.600000024,39
281_unknown,0.639999986,0.600000024,0.396551728,0.618181825,0.615384638,0.653846145,0.627451003,28
282_unknown,0.590909064,0.5,0.455696195,0.583333313,0.608695686,0.608695626,0.688888907,24
283_unknown,0.464285702,0.428571433,0.400000006,0.4375,0.482758611,0.482758611,0.61403507,34
284_unknown,0.538461566,0.576923072,0.433333337,0.545454562,0.555555582,0.555555582,0.490566045,27
285_unknown,0.703703701,0.888888896,0.453781515,0.655737698,0.607142866,0.714285731,0.727272749,32
286_unknown,0.617647052,0.79411763,0.375,0.611111104,0.628571451,0.628571451,0.666666687,36
287_unknown,0.615384638,0.692307711,0.509803951,0.596491218,0.629629612,0.629629612,0.547169805,29
289_unknown,0.472222209,0.611111104,0.322147638,0.419753075,0.459459484,0.459459454,0.493150681,43
29_Greensleeves,0.611111104,0.833333313,0.393939406,0.536585391,0.631578922,0.578947365,0.64864862,21
290_unknown,0.732558131,0.720930219,0.333996028,0.727272749,0.735632181,0.735632181,0.728323698,88
292_unknown,0.857142866,0.857142866,0.571428597,0.806451619,0.862068951,0.862068951,0.824561417,32
293_unknown,0.380952388,0.476190478,0.56410259,0.391304344,0.454545468,0.409090906,0.348837197,23
294_unknown,0.741935492,0.806451619,0.503816783,0.738461554,0.75,0.75,0.682539701,32
295_unknown,0.529411793,0.588235319,0.384615391,0.513513505,0.485714287,0.54285717,0.550724626,38
296_unknown,0.913043499,0.913043499,0.568181813,0.862745106,0.875,0.916666687,0.893617034,26
297_unknown,0.666666687,0.571428597,0.482352942,0.659090936,0.674418628,0.674418628,0.68235296,44
298_unknown,0.709677398,0.709677398,0.46808511,0.686567187,0.71875,0.71875,0.555555582,34
299_unknown,0.714285731,0.857142866,0.474074066,0.675324678,0.777777791,0.722222209,0.732394338,40
30_3 Gymnopedies No.1,0.444444448,0.444444448,0.378378391,0.363636374,0.400000006,0.400000006,0.421052635,11
300_unknown,0.586206913,0.862068951,0.455882341,0.55384618,0.666666687,0.600000024,0.644067824,34
31_Sinfonie Nr.9 d moll Op.125 4.Satz An die Freude,0.481481493,1,0.479166657,0.491228074,0.5,0.5,0.618181825,28
32_The Nutcracker Suite Op.71a No.8 Waltz of the Flowers,0.75,0.583333313,0.489795923,0.740740716,0.692307711,0.769230783,0.720000029,13
33_Swan Lake Op.20 No.9 Finale,0.205882356,0.470588237,0.349206358,0.194444448,0.257142872,0.200000003,0.260869563,36
34_Water Music in D major HWV 349 No.11 Alla Hornpipe,0.333333343,0.370370358,0.274074078,0.342342347,0.345454544,0.345454544,0.458715588,55
35_Ombra mai fu HWV 40,0.375,0.6875,0.444444448,0.333333343,0.352941185,0.352941185,0.515151501,18
36_Estudiantina Op.191,0.263157904,0.315789461,0.363636374,0.212765962,0.300000012,0.25,0.358974367,26
37_Sonate fur Klavier Nr.48 C dur Op.30-1 Mov.1,0.484848499,0.606060624,0.345679015,0.465753436,0.5,0.5,0.537313461,38
38_Sonate fur Klavier Nr.15 C dur K.545 Mov.1,0.400000006,0.680000007,0.242519692,0.392405063,0.434210539,0.407894731,0.496688753,81
39_Andante C dur,0.576923072,0.961538434,0.396551728,0.535714269,0.407407403,0.555555582,0.641509414,28
40_Alpengluhen Op.193,0.354838699,0.838709652,0.38532111,0.309859157,0.34375,0.34375,0.492063493,38
41_Children's Album Op.39-18 Air de Danse napolitaine,0.217391297,0.608695626,0.333333343,0.218181819,0.25,0.25,0.234042555,30
42_Children's Album Op.39-9 Valse,0.75,0.875,0.54838711,0.649999976,0.764705896,0.764705896,0.818181813,22
43_Les Contes d'Hoffmann Barcarolle,0.319999993,0.479999989,0.383838385,0.327272713,0.346153855,0.346153855,0.372549027,28
44_Rosamunde Prinzessin von Zypern Op.26 D797 Intermezzo No.3,0.666666687,0.944444418,0.524590135,0.649999976,0.684210539,0.684210539,0.702702701,20
45_Gianni Schicchi O mio babbino caro,0.518518507,0.518518507,0.556701005,0.517241359,0.535714328,0.535714269,0.690909088,29
46_Dichterliebe Op.48-1 Im wunderschonen Monat,0.400000006,0.5,0.476190478,0.328767121,0.387096763,0.387096763,0.491803288,41
47_Le Nozze di Figaro Ð’jÐ’u492 Voi che sapete,0.666666687,0.952380955,0.540540516,0.583333313,0.636363626,0.636363626,0.720930219,25
48_Rigoletto La donna e mobile,0.652173936,1,0.51219511,0.612244904,0.625,0.625,0.702127635,24
"49_The Planets Op.32 Jupiter, the Bringer of Jollity",0.612903237,0.709677398,0.397058815,0.615384638,0.625,0.625,0.603174627,32
50_Amazing Grace,0.590909064,0.590909064,0.567567587,0.553191483,0.565217376,0.565217376,0.644444466,23
51_Fantasiestucke Op.12-2 Aufschwung,0.4375,0.46875,0.387878776,0.416666657,0.454545468,0.454545468,0.523076952,38
52_Fantasiestucke Op.12-7 Traumes Wirren,0.826923072,0.961538434,0.497409314,0.803738296,0.811320782,0.811320782,0.81904763,53
53_Lieder ohne Worte Op.19-3 Jagerlied,0.558139563,0.488372087,0.327731103,0.527472556,0.545454562,0.545454562,0.609195411,46
54_Suite HWV 430 Air mit Variationen Harmonious Blacksmith,0.34375,0.515625,0.247311831,0.348484844,0.369230777,0.353846163,0.465116292,66
55_Farewell To The Piano WoO.62,0.6875,0.8125,0.326666653,0.666666687,0.673469365,0.673469365,0.711340189,49
56_Le Coucou,0.074626863,0.283582091,0.243323445,0.072463766,0.088235296,0.073529415,0.177777782,69
57_Waves of the Danube,0.400000006,0.699999988,0.363636374,0.333333343,0.363636374,0.363636374,0.428571433,12
58_Waltzes No.6 Op.64-1 Des dur Valse du Petit Chien,0.190476194,0.642857134,0.172972977,0.183908045,0.209302321,0.186046511,0.188235298,43
59_Schwanengesang No.1 Op.72-4 D.957-4 Standchen,0.619047642,0.809523821,0.527777791,0.553191483,0.5,0.590909064,0.627906978,24
60_Ma Vlast Moldau,0.761904776,0.619047642,0.628571451,0.75555557,0.727272749,0.772727251,0.813953459,22
61_Album fur die Jugend Op.68-10 Frohlicher Landmann,0.580645144,0.741935492,0.495726496,0.529411793,0.5625,0.5625,0.682539701,35
62_Doll's Dreaming and Awakening Op.202,0.611111104,0.666666687,0.482758611,0.589743614,0.621621609,0.621621609,0.616438329,40
"63_25 Etudes faciles et progressives, conposees et doigtees expressement pour l'etendue des petites mains Op.100-2 Arabesque",0.551724136,0.758620679,0.395833343,0.470588237,0.533333361,0.533333361,0.559322059,37
"64_Stimmen aus der Kinderwelt, 12 leichte Vortragsstuck Op.78-3 Heideroslein",0.5,0.760869563,0.445497632,0.494845361,0.46808508,0.510638297,0.559139788,49
